PredicateSignature,count,mean_q_error,median_q_error,p95_q_error,max_q_error
ci.person_id:=,103,9.391098189649366,5.346938775510204,29.40357142857142,60.0
ci.person_id:=|ci.role_id:>|mi_idx.info_type_id:>,1,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666
t.production_year:>|mc.company_id:>|ci.person_id:=,1,9.0,9.0,9.0,9.0
t.kind_id:<|t.production_year:<|ci.person_id:=|ci.role_id:<,1,9.0,9.0,9.0,9.0
t.kind_id:<|mi_idx.info_type_id:=|mk.keyword_id:=,1,8.99074074074074,8.99074074074074,8.99074074074074,8.99074074074074
mi.info_type_id:>|mk.keyword_id:=,4,8.746445839426196,9.052263408919755,15.084785901527018,15.633803846997733
t.kind_id:=|t.production_year:<|mc.company_id:>|mc.company_type_id:<|ci.person_id:<|ci.role_id:=,1,8.622529644268775,8.622529644268775,8.622529644268775,8.622529644268775
ci.person_id:=|ci.role_id:<,28,8.511566567385836,4.898137019230769,29.862828947368403,43.0
t.kind_id:=|mi.info_type_id:>|mk.keyword_id:=,1,8.317258883248732,8.317258883248732,8.317258883248732,8.317258883248732
mc.company_id:<|ci.person_id:=,1,8.155555555555555,8.155555555555555,8.155555555555555,8.155555555555555
t.kind_id:<|t.production_year:>|mk.keyword_id:=,6,8.098703167754808,7.629688581314879,15.524057441768655,15.664429530201343
t.kind_id:=|t.production_year:<|mi.info_type_id:>|mk.keyword_id:>,1,8.0,8.0,8.0,8.0
t.kind_id:<|mc.company_id:=|mi_idx.info_type_id:=,1,8.0,8.0,8.0,8.0
mc.company_type_id:>|mk.keyword_id:=,3,7.9448013816925735,1.5544041450777202,19.28044041450777,21.25
t.kind_id:=|t.production_year:<|mc.company_type_id:<|mk.keyword_id:=,1,7.783333333333333,7.783333333333333,7.783333333333333,7.783333333333333
ci.role_id:=|mi.info_type_id:=,1,7.755336170044136,7.755336170044136,7.755336170044136,7.755336170044136
t.kind_id:>|t.production_year:=|mc.company_id:=|mc.company_type_id:>,1,7.625,7.625,7.625,7.625
t.kind_id:=|mc.company_id:=|mi_idx.info_type_id:=,1,7.421052631578948,7.421052631578948,7.421052631578948,7.421052631578948
ci.person_id:=|ci.role_id:=|mk.keyword_id:>,1,7.375,7.375,7.375,7.375
t.kind_id:=|t.production_year:>|mk.keyword_id:=,8,7.338554614966322,4.834222027972028,18.523308957952466,20.420475319926872
t.kind_id:<|mc.company_id:=,2,7.271295403407265,7.271295403407265,7.815461266473803,7.875924140147863
t.kind_id:>|mc.company_id:=|mc.company_type_id:=|mi.info_type_id:>,1,7.171296296296297,7.171296296296297,7.171296296296297,7.171296296296297
t.kind_id:=|t.production_year:=|mc.company_id:=|mc.company_type_id:=,1,7.0,7.0,7.0,7.0
mc.company_type_id:<|mk.keyword_id:=,1,6.803149606299213,6.803149606299213,6.803149606299213,6.803149606299213
t.production_year:=|ci.person_id:=|ci.role_id:>,1,6.6,6.6,6.6,6.6
t.kind_id:=|ci.person_id:>|mk.keyword_id:=,1,6.564304461942257,6.564304461942257,6.564304461942257,6.564304461942257
mc.company_id:>|mc.company_type_id:<|ci.person_id:=|ci.role_id:=,1,6.5,6.5,6.5,6.5
ci.person_id:>|mk.keyword_id:=,3,6.452869686537827,6.267417605340008,8.697930547521368,8.967987541097076
