source,candidate,mean_q_error,median_q_error,p90_q_error,p95_q_error,max_q_error,low_p10_threshold,low_p25_threshold,tail_p90_threshold,tail_p95_threshold,low_p10_mean_q_error,low_p25_mean_q_error,tail_p90_mean_q_error,tail_p95_mean_q_error,quantile_balanced_score
internal_validation,dynamic_gate,3.0168259452839576,1.1783523100536943,3.510797685545327,7.108468751487428,839.6666666666666,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.868011088979943,7.686845764518122,1.1126221995584402,1.0917933231553998,4.37436960343894
internal_validation,blend_low_033,3.0169684425272876,1.1760707132211108,3.4849350649350654,7.045681818181815,882.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.877786253363817,7.738142595561108,1.1010179871739678,1.092496930724435,4.381980366444272
internal_validation,blend_low_030,3.017844297729424,1.1760116312067908,3.4820463538722444,7.0426982591876195,862.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.874358823019307,7.741801400310715,1.1008630865227456,1.0922121034307628,4.382241421369366
internal_validation,blend_low_031,3.01759048835926,1.1763064510346724,3.483490754039286,7.045681818181815,869.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.876876611001535,7.7406781353671015,1.1009136325846913,1.0923063587498805,4.382388199518716
internal_validation,blend_low_032,3.0175550911694122,1.1761476260278136,3.4834251570345023,7.045681818181815,876.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.877165305943553,7.740511417597031,1.100965598510205,1.0924014774435127,4.382420925705615
internal_validation,blend_low_029,3.0183875788850654,1.1760908490911037,3.482830371839784,7.022485493230156,856.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.877164607059655,7.743978790852812,1.1008134939290009,1.092119763966643,4.383153139179321
internal_validation,blend_low_028,3.019827407156484,1.1761844414392875,3.470023990403839,7.051785714285688,850.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.876937538034944,7.749737559387857,1.1007639400898834,1.092027208329215,4.3844608897975155
internal_validation,blend_low_027,3.0204274334832846,1.1763715588619807,3.463782848669579,7.051785714285688,843.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.87615840647903,7.752222457041535,1.1007144737883723,1.0919349404515541,4.3849008904058
internal_validation,blend_low_035,3.0202868476641953,1.176185225031393,3.485081585081586,7.0332401168402665,896.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.890636391567396,7.7392501830562646,1.1011273143708677,1.0926913442399675,4.38529074887964
internal_validation,blend_low_034,3.0209149121243435,1.1761619326898878,3.482967607105539,7.037457912457906,889.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.890486768820288,7.741808916468071,1.1010712898651513,1.0925932475963904,4.385843915035824
internal_validation,blend_low_026,3.02248776559244,1.1764270473762246,3.4618025916717037,7.051785714285688,837.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.871616415337188,7.76045186641513,1.100665298221084,1.0918430594691195,4.386149366847187
internal_validation,blend_low_036,3.0207851596523585,1.1759650976592217,3.486062645397143,7.009258021390347,902.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.89565765129336,7.741197022113556,1.1011841786181307,1.0927908244357765,4.386538798569237
internal_validation,blend_low_023,3.022840238923295,1.1763977111645292,3.469336430440352,7.125892857142844,818.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.87441975598016,7.761898602956982,1.1005196403633346,1.0915689357270248,4.3868335706636294
internal_validation,blend_low_037,3.020918441233706,1.1756568231708844,3.4859173669467793,7.00093333333332,909.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.90322848326326,7.7416694503361985,1.101242492793315,1.092893163968361,4.387821151184386
internal_validation,blend_low_025,3.023538630683817,1.1764101266551548,3.4618962432915934,7.060168067226871,831.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.878391280255073,7.764639726542589,1.1006164176001765,1.0917511336673464,4.388135861132481
internal_validation,blend_low_022,3.0242008442288344,1.1763351717495385,3.473517295370421,7.125892857142844,812.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.875918501144138,7.767316122628754,1.1004715124816007,1.0914781997358982,4.3883218558654455
internal_validation,blend_low_024,3.0239366461378703,1.1762629014698884,3.4667336683417087,7.086984126984108,824.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.878114165761101,7.766317402746262,1.1005679173251024,1.0916599271798668,4.388459734459098
internal_validation,blend_low_038,3.0216110519797073,1.1762226320740354,3.493835616438359,7.0,916.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.903056804725082,7.74429491154902,1.1013013528197995,1.092996617865465,4.388461152130075
internal_validation,blend_low_039,3.0221311593222415,1.1762428838182344,3.4892137366388245,7.0,923.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.904185876423233,7.746307326438604,1.1013618553285356,1.093103249504476,4.389144814392236
internal_validation,blend_low_021,3.0254274267376857,1.1765176157092203,3.47515397713298,7.142857142857143,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.878779455244633,7.772279679504263,1.1004234015765486,1.0913873611474778,4.389899452036502
internal_validation,blend_low_020,3.0257636546161475,1.176612456614711,3.4691407372928302,7.142857142857143,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.88014112512443,7.773585876314546,1.100375984344192,1.091297919565888,4.3903923108963046
internal_validation,blend_low_040,3.022891568622857,1.176292662429712,3.487852715005042,7.0,930.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.912949388924126,7.74926880871641,1.1014232254540226,1.0932114820598444,4.391200558894153
internal_validation,blend_low_019,3.0263943935681774,1.1765617604426755,3.4745445325514424,7.144047619047602,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.886205613300179,7.7760610758798,1.1003286871125482,1.0912086997837123,4.391869084149484
internal_validation,blend_low_018,3.027081477893834,1.1764610948737855,3.467315436241613,7.168764988009562,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.887045730215977,7.778860716712517,1.1002820226365597,1.091120416304524,4.392630870958505
internal_validation,blend_low_041,3.0225320369457083,1.1763754961983417,3.485923344947736,7.0,937.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.926845643255868,7.747756914051651,1.1014847537850383,1.093320176617001,4.392963344918282
internal_validation,blend_low_042,3.022239095603813,1.1764679107083378,3.485923344947736,7.0,944.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.92870882621586,7.746424037023671,1.1015471905319218,1.0934305135837354,4.3929717942438
internal_validation,blend_low_043,3.0223408378577274,1.176198003224461,3.485923344947736,7.001573990452822,951.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.930087081282299,7.746728131172134,1.1016122498776897,1.0935459453488492,4.393292601669794
internal_validation,blend_low_017,3.02842131636423,1.176598714515382,3.4670652684301158,7.168798449612372,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.89063201357157,7.784163270169424,1.1002368409192114,1.0910340435954557,4.3944090881456015
internal_validation,blend_low_044,3.023051328843223,1.1760773689742736,3.4858227740814516,7.002499999999964,958.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.938381189907807,7.749477062870591,1.1016777610961084,1.0936620515079438,4.395230777477892
internal_validation,blend_low_045,3.024391323758022,1.176209414530092,3.481388755298566,7.0513106985198455,966.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.95030354013104,7.754735739019768,1.1017436021263658,1.0937783954507738,4.398310074597038
internal_validation,blend_low_016,3.0304851438191474,1.1764705882352942,3.4667250096973743,7.167156862745091,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.907367443943684,7.792349309826455,1.100195033587164,1.0909543106876713,4.398847430577831
internal_validation,blend_low_015,3.0311824254475668,1.176454870132892,3.4668726510093513,7.167156862745091,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.908908546286941,7.795176694665459,1.1001548123535863,1.0908772178252588,4.399725300467598
internal_validation,blend_low_046,3.024550184502925,1.1763388491233617,3.458951785420443,7.0717032967032925,973.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.960035218594005,7.75517293618283,1.1018095663327445,1.0938946807176457,4.399924158885989
internal_validation,blend_low_014,3.03203594838072,1.1764705882352942,3.4631782945736442,7.167156862745091,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.912665335957175,7.798501761454923,1.1001151038795542,1.0908011668840114,4.401065145503802
internal_validation,blend_low_047,3.025791599521823,1.1764600605719906,3.4606666666666692,7.110005997600956,980.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.975209544136655,7.760021569747833,1.101875682920327,1.0940114658531657,4.403395372523993
internal_validation,blend_low_013,3.0339247991918077,1.1769183274764832,3.4645238095238104,7.178112175102576,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.921328528211198,7.806077660691209,1.100075876640007,1.0907260984816725,4.4041412092448295
internal_validation,blend_low_048,3.026617422064524,1.1765554195750738,3.457864406779662,7.070583876704208,988.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.985134369060107,7.763203615269621,1.1019418521098496,1.094128055882907,4.4056836843651
internal_validation,blend_low_012,3.0349404275672853,1.1768555339599756,3.459369747899162,7.210416156670731,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.930194460415816,7.81006296189613,1.1000380250660364,1.090653609029034,4.406404188561053
internal_validation,blend_low_049,3.0270983003372893,1.1764814321969352,3.4566322770817983,7.058977272727241,995.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.991154398445765,7.764990157340442,1.1020083087154044,1.094245184526763,4.407056371698645
internal_validation,blend_low_050,3.0276215921294565,1.1764589653288702,3.4579428381522113,7.093337471973764,1003.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.992861287642347,7.766950475283261,1.1020755423113187,1.0943637914417041,4.407823411319189
internal_validation,blend_low_011,3.0381483460535974,1.1764418524358047,3.455001322121743,7.23176470588235,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.930115604663495,7.822788032564357,1.1000010492636947,1.0905819050461885,4.409404005101728
internal_validation,blend_low_051,3.0279585718724067,1.176366483651121,3.4583760346866406,7.058977272727241,1010.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.001895024808595,7.768070338752968,1.1021428875203474,1.094482613371039,4.409498260491837
internal_validation,blend_low_010,3.03976141943875,1.17632577488392,3.455928571428575,7.23176470588235,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.938702905320046,7.829237451748816,1.0999652378359641,1.090512246495262,4.412204785338338
internal_validation,blend_low_052,3.029485579411558,1.1762140198149467,3.451500416782442,7.101034482758605,1018.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.015827277754525,7.774041032360302,1.102210379544985,1.0946018082331288,4.413052117889643
internal_validation,blend_low_053,3.0289848517835978,1.176209996962915,3.451500416782442,7.065409482758579,1026.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.025228277035282,7.771884965077543,1.1022789550615515,1.0947228788988737,4.41399810348019
internal_validation,blend_low_009,3.040616205060143,1.1763594315161432,3.4713204807340863,7.277762276785708,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.946305921748287,7.832564832996181,1.0999312567087631,1.0904459026754914,4.414125154024132
internal_validation,blend_low_054,3.029394229158588,1.1763388664558652,3.45119225037258,7.1211067853170125,1033.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.03542464206339,7.77337322732477,1.102348270278269,1.094845107275952,4.41592892261066
internal_validation,blend_low_008,3.0422431101597156,1.1763545892970142,3.478365581875665,7.287905844155812,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.953233826532207,7.839055019629435,1.0998984103735574,1.0903819029655217,4.416689557629285
internal_validation,blend_low_055,3.0301507849581633,1.176099394985974,3.4548213625053954,7.166666666666667,1041.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.046656189094497,7.776227105469371,1.1024183784056885,1.094969195697023,4.418341864820195
internal_validation,blend_low_007,3.0434241523975047,1.177007541594912,3.4708807588075885,7.294758299359338,809.6785714285714,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.965482841197423,7.843658646262551,1.0998655402045174,1.0903178077283944,4.4196130690344795
internal_validation,blend_low_056,3.03117719110292,1.1762225333595784,3.4532352393369363,7.166666666666667,1049.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.058805874787497,7.780166618293963,1.1024888199868783,1.0950938219709505,4.421149978240463
internal_validation,blend_low_057,3.0310092478391772,1.1762982202342893,3.45778831982314,7.1677083333333185,1057.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.072050396251896,7.77925245455734,1.1025593172506003,1.0952185322218277,4.422976268397052
internal_validation,blend_low_006,3.045557886280578,1.1771838592002817,3.4669032258064525,7.297384529771815,818.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.979135433305371,7.852175919619689,1.099832821431063,1.0902539344815236,4.423667673247925
internal_validation,blend_low_005,3.047373655641095,1.1772353947954757,3.467073170731709,7.320603015075367,832.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,11.987831490939351,7.859315346693698,1.0998002191975567,1.0901903155571704,4.4266609011104086
internal_validation,blend_low_058,3.0339184688562937,1.1763348648031469,3.4591925840286266,7.1677083333333185,1065.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.089782734749676,7.790707905800693,1.102630406513997,1.095344409518317,4.428408503063021
internal_validation,blend_low_059,3.0343122751452216,1.1763999892842854,3.4625194209474963,7.176557949912637,1073.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.097831823729098,7.7921038805577085,1.102702177168052,1.0954715759628662,4.42999929371163
internal_validation,blend_low_004,3.0500314529815538,1.177007756822372,3.4693769697819454,7.333333333333333,846.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.003849559743406,7.86980939146817,1.0997676353135537,1.0901266016411277,4.4315503168505375
internal_validation,blend_low_060,3.0354929636774304,1.176323189430045,3.4630669781982952,7.168238993710669,1081.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.111410812432233,7.796634774386842,1.1027740455270354,1.0955985994696391,4.433165202032945
internal_validation,blend_low_003,3.050960883810213,1.1771956123163436,3.4672972972972995,7.295036764705869,860.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.01034184395475,7.8734818766106764,1.0997352536294178,1.0900630423255622,4.433382763927914
internal_validation,blend_low_002,3.052758484527878,1.1775114559132276,3.466520503451076,7.3135416666666515,874.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.01887083797159,7.8805188010664065,1.099703455989474,1.0900007882797922,4.436329591494836
internal_validation,blend_low_061,3.036917246471938,1.1761820251601312,3.4603174830687657,7.199746008708249,1089.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.123506061536668,7.8021273497008234,1.1028461062824495,1.0957262001390364,4.436338203920977
internal_validation,blend_low_001,3.0543856209908546,1.1772122992070901,3.466520503451076,7.3135416666666515,889.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.03291863798181,7.886991899018196,1.0996731741212251,1.0899412970628533,4.439960783427555
internal_validation,blend_low_062,3.038593023737397,1.1760071060342128,3.465156375300722,7.183385252692594,1097.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.13791494068037,7.808627532255709,1.1029182316792323,1.0958538176910688,4.4400974275386
internal_validation,residual,3.055736951334552,1.1770820850291346,3.4650714789409585,7.328397593655998,903.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.04405268538083,7.892247101295846,1.099644138634295,1.089884246861346,4.442876371136008
internal_validation,blend_low_000,3.055736951334552,1.1770820850291346,3.4650714789409585,7.328397593655998,903.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.04405268538083,7.892247101295846,1.099644138634295,1.089884246861346,4.442876371136008
internal_validation,blend_low_063,3.039401785493484,1.1760672509109296,3.4717591970347272,7.167392156862735,1106.0,123.90000000000009,14387.0,17332556.200000014,37571562.29999982,12.151544542716056,7.811656504892677,1.1029905126174853,1.0959815284001981,4.4429156646366925
