CardinalityBucket,count,mean_q_error,median_q_error,p95_q_error,max_q_error
<=10,188,14.109084768659237,6.333333333333333,43.0,256.0
101-1k,367,8.707642402885748,2.948557089084065,19.113939393939386,1149.924
1k-10k,391,3.8939193067335602,1.6906175771971497,15.383685353335967,89.70212765957447
11-100,247,3.0192545205698127,2.0,7.345192307692297,73.28571428571429
10k-100k,555,2.0858119260528274,1.2491223884666507,4.8385699260769774,83.46892655367232
>100k,3252,1.2230805660586392,1.1072310580982672,1.696174320021643,17.710953889185966
