candidate,public_rows,public_mean_q_error,public_median_q_error,public_p90_q_error,public_p95_q_error,public_max_q_error
main_tuned,5000.0,2.873356660956538,1.13439909695161,3.3374761675707054,6.93365313294815,1226.288
eq_stats_main,5000.0,2.873356660956538,1.13439909695161,3.3374761675707054,6.93365313294815,1226.288
group_calibrated,5000.0,2.862021300390464,1.1265170411291099,3.3353994257726813,6.957131985925868,1198.356
low_expert,5000.0,3.013016723435906,1.1377435786057322,3.875,8.501666666666672,1224.476
residual,5000.0,2.5947989807412832,1.1335176205120394,3.2898925281229334,6.6042932604735896,1015.836
blend_low_020,5000.0,2.5834839599059123,1.1347819685409188,3.297499739556209,6.8298468137255,1054.504
