trial_id,selected_candidate,mean_q_error,median_q_error,p90_q_error,p95_q_error,max_q_error,public_rows,main_eta,main_max_depth,main_min_child_weight,main_subsample,main_colsample_bytree,main_lambda,main_alpha,main_num_boost_round,low_eta,low_max_depth,low_min_child_weight,low_subsample,low_colsample_bytree,low_lambda,low_alpha,low_num_boost_round,tail_num_boost_round,residual_eta,residual_max_depth,residual_min_child_weight,residual_subsample,residual_colsample_bytree,residual_lambda,residual_alpha,residual_num_boost_round,low_classifier_rounds,tail_classifier_rounds,blend_low_expert_weight_percent,dynamic_low_gate_scale,dynamic_tail_gate_scale,dynamic_main_gate_scale,dynamic_low_output_scale,dynamic_tail_output_scale,dynamic_residual_mix,dynamic_raw_mix,main_tuned_best_iteration,selected_main_config,low_gate_threshold,low_expert_threshold,tail_fallback_threshold,tail_gate_threshold
4,dynamic_gate,2.668373957642449,1.1397301208751873,3.2805714285714305,6.376430769230772,1368.632,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,500,500,0,0.8,0.8,0.8,0.8,0.8,1.0,0.0,3199.0,main_tuned,124.0,14344.75,17357664.09999999,35186520.79999991
1,dynamic_gate,2.6683739576835053,1.1397301208751873,3.2805714285714305,6.376430769230772,1368.632,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,500,500,0,0.8,0.8,0.8,0.8,0.8,0.7,0.0,3199.0,main_tuned,124.0,14344.75,17357664.09999999,35186520.79999991
7,dynamic_gate,2.670409055862235,1.1403933877714514,3.2761205534854594,6.384819831331461,1368.684,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,500,500,0,0.8,0.8,0.8,0.8,1.0,0.7,0.0,3199.0,main_tuned,124.0,14344.75,17357664.09999999,35186520.79999991
5,dynamic_gate,2.67398317119711,1.137925297604235,3.2746346153846178,6.394242424242425,1408.272,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,500,500,0,0.8,0.8,0.8,0.8,0.8,1.0,0.2,3199.0,main_tuned,124.0,14344.75,17357664.09999999,35186520.79999991
2,dynamic_gate,2.676929602265424,1.1376784947687857,3.2746346153846178,6.390428677014044,1421.74,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,500,500,0,0.8,0.8,0.8,0.8,0.8,0.7,0.2,3199.0,main_tuned,124.0,14344.75,17357664.09999999,35186520.79999991
6,dynamic_gate,2.677124400477452,1.1384164894336775,3.2746346153846178,6.390428677014044,1423.824,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,500,500,0,0.8,0.8,0.8,0.8,0.8,1.0,0.3,3199.0,main_tuned,124.0,14344.75,17357664.09999999,35186520.79999991
3,dynamic_gate,2.682909319853804,1.1382283885719786,3.2746346153846178,6.410704188481678,1440.812,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,500,500,0,0.8,0.8,0.8,0.8,0.8,0.7,0.3,3199.0,main_tuned,124.0,14344.75,17357664.09999999,35186520.79999991
